well,oracle_shift,base_rmse,tw_delta,prefix_delta,ridge_correction,ridge_rmse
015fe0d2,18.266613098633528,20.870873340049574,1.35503941000017,-17.42516805272493,2.161933818773205,19.0074957474246
01869cd4,2.617878316175865,8.377282008025002,3.0523152423454905,-19.44373881114514,6.146438315992814,8.704958508573352
01982c1d,-7.87868172070414,10.281181399393947,-4.937204717281343,-15.74524269687296,-2.3191295151116695,8.633521068358645
028d7b28,-11.778739647765416,14.687282260078202,0.4674777570867432,-15.409802233981553,-1.6072320650445415,13.43268845029661
05948241,-5.017820512141074,6.0182049001304865,-6.316347785263811,-15.246841396679596,-1.922121955992822,4.541323273939802
06df5958,-0.2079987711305005,2.2906687762901865,,,-1.6056940631313608,2.6753414890740217
071d7b45,9.283127360915067,9.84847530768292,7.610128721445725,-21.81230383288564,1.6806285904062315,8.283356797981401
0849b4e2,-10.023141276393819,14.261133226323139,-0.9322703066294954,-12.87799690223823,0.796238194732823,14.831572134895973
09441b8d,-9.165186880631687,12.511334535868123,-2.1651204557409494,-11.392655587911392,-3.3991872983894535,10.284920636247886
09ec2ca9,-4.37725774412382,7.350236439536113,,,-0.5377916681323007,7.043230090468853
0bbf5e67,-13.847100917149554,15.23988275183348,,,-2.074705484274751,13.382866535533209
0be01c24,1.080096638011466,4.092242031735613,3.210940300955777,-6.36759707431926,1.6376642435961823,3.9863163112899627
0c1b160c,3.435993577919729,6.945119837506097,7.084367147221624,-4.741965886588992,2.4728875576830944,6.111972749941681
0dc835f3,-9.034423998251334,12.096923083316595,-1.2787933495510444,-13.929211593367526,-4.778175090413374,9.101120033763067
10be2420,-12.148318635952275,13.161559932677296,-5.857691055346706,-13.103822149688172,-4.75743688744331,8.959360870133485
122bd617,2.458057225451126,8.21587732363877,6.277447192201112,-10.07007966389597,4.488610967188258,8.098255575836724
125be846,-10.168486224059182,11.895187030614766,2.449960246877664,-5.984425181334645,-1.8341621049242627,10.371032780163382
1285a37b,-5.347827604655146,5.567295474998985,-0.1372204048702922,-10.289340519640348,-0.540225047728113,5.050600079417476
13f598d9,5.5388845674289025,8.031282508651485,-1.7955339162998616,-17.09312599163303,-0.4847468970043254,8.372956019338256
173ed841,19.502178380479332,21.99929611275024,-0.45493623740892986,-10.929629877527459,0.29922289229588334,21.734478768849975
1770d7c6,4.778003982142533,7.688694451663013,1.8249729916830324,-21.346044022561802,-0.2802077075627073,7.86588874924745
1944513c,8.93044623180512,9.528993465253238,-1.3925190986015177,-1.3608985426354545,3.429630516711103,6.427116001216613
19fb4f7b,-5.202859476954142,9.054289613840414,1.01086178759454,-4.0296835455461135,2.258375534336512,10.515723539922424
1a518997,9.75542122778473,10.002189789505218,,,-2.4375909680765484,12.39133179533956
1a68190b,10.842142136293697,13.08819656367195,-5.251617726215247,-14.991012329643503,-2.782247344129794,15.471678380188852
1b1c5372,-13.343316009730897,18.685374177521677,-7.7665488637617015,-13.509105335958811,-4.7627102054984825,15.643718291572002
1b1eba53,63.302882278611655,68.3773765060652,10.464526235493036,-6.970963623752642,3.115143634843378,65.50400442814977
1b82b665,-1.4186618644421753,5.043222388787244,-2.1030063355050457,-8.803505820855397,0.5920661523744641,5.240660047623064
1beca81d,-1.4635588353297104,6.037638312033156,1.2297110981955734,-10.059569819545228,-0.8233036458068679,5.892452683744581
1f9afacb,1.6335395731841043,3.1527474336166175,2.7935463687856767,-11.488327012965506,1.9132205299580793,2.711012039921499
1fdbba44,3.683991738753669,6.641283367660911,-2.543220323603955,-17.800749467386527,2.7503379700748285,5.60415551159413
1fee2b62,2.4544126576045042,6.178160719001687,-13.220732032404303,-12.354906047403677,-5.9909458181905535,10.172001187607174
200d233d,5.026862079196944,5.994743022666387,-4.703453648733046,-10.341538275892322,-3.4982678519819115,9.129372480517755
206b6193,-25.850792337488812,29.53489237971585,-1.018256353263853,-6.285579116886855,8.272657549292175,36.99265110236223
25939962,3.9509701986731494,9.032781251039372,-6.499841872039556,-14.4837278380031,-3.156618241787022,10.793460291180002
261785ee,-18.776684950447592,21.140841413315865,1.2737413854349573,-12.534430205388572,2.6920948526908073,23.564375318906087
264feceb,-5.945138806047909,6.860158032842536,-2.5979116319686937,-7.549953991669499,-0.40568676807669357,6.511729547007653
26d3a96a,0.10615946269732848,4.964213676319299,-2.5359215619476037,-16.454671703362884,2.0025384912808573,5.313040656035461
27300fd5,9.884201997562233,11.02017191002382,-8.448430757394092,-9.675927473834498,-6.531732451669766,17.12394941709781
27c3155b,-13.366144736897207,14.669157061811182,-2.306514758529304,-11.150741080475136,-2.6453475543166465,12.3071457294706
283269ac,-0.9047768232112877,1.9270025435494764,2.489261810032056,-14.591394467838143,-0.3842883742824439,1.7792205957932372
2b06ad65,1.7634778875095487,2.2291996618199894,-6.608087080271584,-10.724084626469226,-3.0816523725672007,5.033365088054136
2c0c4a4e,-3.447132442208276,5.016080325586162,-6.293745095437521,-6.701875041136988,-6.216126100734385,4.576643490547292
2cee0cba,-7.74014489161688,10.279596364437511,-6.690631810170151,-7.625960814804638,-2.4760579300519403,8.571515035945701
2d179ded,-1.695115296685444,8.12288491485349,3.9776097599488422,-3.983816009776901,4.45872829260556,10.048762828943639
2d196986,-5.213673464585442,8.633540452599608,0.7033768554149321,-11.979859573378919,3.3067873534594523,10.952345972585084
2ddad940,-4.176125521387629,8.58847819921705,-9.019320457142713,-16.778615643454195,-8.392118097652684,8.60793394556205
2e43c2ea,2.820179902050975,4.63062562595359,-1.1858838184447869,-2.6691674499627704,-0.48317933954129133,4.939783526311065
2f19d536,-1.4161430641196913,2.573757659998148,-3.6999831559960126,-10.112224324349983,0.03461790429497752,2.5929663904149343
2f8e53c3,-0.9771957442971843,2.756476678285922,0.8059093850271718,-12.473557111825672,2.1077014957770004,4.01993073784621
2fd68f7b,50.98954912254976,55.38631820751252,7.942053591492353,-5.087989948669887,1.5714634665495861,53.943093299946455
32fe84c9,-16.21468644762626,18.609036529986536,2.120785272635117,-7.633726166066162,3.7525535715611436,21.956112086692023
3407f5bf,-12.983732507788648,20.67612075545997,2.7389774527077146,-5.185471232740433,6.288093315859204,25.10633247285601
357c12f9,0.9387243761382251,2.9881272254919677,4.085694066535963,-11.554379335806814,0.5686387479574925,2.8608852185216462
3584a6eb,-7.295150307671097,8.21866710943938,1.2237445929464845,-15.526220010324915,0.38179061697760336,8.559362885449124
35b30c7f,-16.786521433519727,18.872470363942657,5.2276758416693205,-13.396929641712276,3.8575805310591282,22.373238069707565
35b3ef6a,-19.12788605367474,20.727979473422085,-6.936122543715295,-16.991757168245098,-1.2825810271291767,19.550652665798044
368fe682,15.996360101991598,17.801019653637407,-1.623313008443955,-11.609619451308255,2.328553229301672,15.741718740523858
37344c2a,7.531611185190045,13.938084506212542,0.6973660948882975,-13.341605946466617,-0.7762145214255676,14.372369346386337
398dce4b,-1.9071041855096313,3.6545165298733266,-0.8040430243610242,-11.204526785383933,0.5245249771512117,3.953639472363232
3a7dd95d,-5.585644283759969,10.41162032436539,-1.5774631685718188,-11.503809647396624,1.8390820035324535,11.503433233398441
3aaa2b30,10.259947307450267,12.234181196364895,3.9533553130125183,-9.376953089408282,-0.09742031920818817,12.315995085562628
3b21ea64,1.7454628288517722,6.168790722629314,1.5421324855918863,-11.79941441881883,-1.9438792543370984,6.972702739933881
3bbe1f5d,5.337470760977662,6.73271330804459,-2.663804589632571,-18.465992109975055,0.8062121794921091,6.113357399687788
3c3dbcbc,-5.263886747100485,8.370255526540387,-4.137264497919323,-12.597808265172706,-7.252318238133395,6.8048904243795505
3d96d897,-0.22857675630024907,2.5751298297475205,,,-1.4289407923616486,2.8319463493516897
3df4b19e,-5.690267944027472,7.8846606094453735,-7.044270276409985,-18.128934848863516,-5.52099097084565,5.46052912683031
3e678ea7,10.125388879103317,11.126808948969847,-5.615930857644912,-15.94532107065318,5.267768137102559,6.69916835935058
3ef6372a,-6.251486438680311,7.548743600208668,-2.0674288731724415,-16.18799432957651,2.275169183340555,9.518734335257957
404c4384,4.29413637354336,5.577828781328982,-3.4558306751741616,-12.162451248993625,-0.3688691460080764,5.866531104034452
42669188,-15.300859183245853,17.28723341316005,-8.3296334379745,-11.973980091623261,-3.8567155414369183,13.989302020827216
4463446c,6.707786647333545,10.38424187146197,-2.944233567915522,-5.527890795450633,-2.4459602709219737,12.109052819371799
463c38f2,0.6583319897513907,6.653231070357092,2.8218580350372173,-4.412970718735154,6.662837109626002,8.937906041206958
46d24a09,17.104507923755936,19.884526300966048,3.563882705948546,-3.044564058958689,3.9141223060204626,16.63780236823859
46d41ff6,-0.4375512090327785,4.498856179899285,2.6775574040487298,-7.544835955167404,-0.5679491552098961,4.479426245766186
48c1f673,16.892200099796934,18.970737237402712,-3.4618142901907456,-12.804588449345372,-0.967644321327308,19.837250058053293
4a035ec2,-11.136091318038776,14.375543883314956,-5.180700806200161,-11.271851518148404,1.6178841405043978,15.662299387207314
4b831d20,-14.980650477426563,16.977412563540142,-5.570124012053151,-7.769488314996613,0.4680524298944404,17.391810433204057
4ed93db6,-6.009902833556383,9.21493757896505,-3.175888090570124,-9.317002452680176,-2.5409253216879866,7.799355581923705
