repeat,outer_fold,well,typewell_profile_hash,n_rows,base_sse,typewell_sse,ordered_sse,joint_sse
1,1,b04b58a3,728c7755852785a28381adb88b96a21c1c4deeb34f94c636b0303aa11110ce72,3402,379037.20515189396,273424.48006606585,322523.6495799447,261836.22142036606
1,1,b0d42b0d,a1c99a20ff26641b67aaaaa4fd5c6653cee9db4758c648a0784ca64b35cc15f7,4971,1053255.2124102814,1331120.436252892,855668.1131103579,1090122.2294243486
1,1,b0f53bf4,cc0038555f67252e0d8e11fa54139c2b1054a1e14158fd667441b7af29ca7720,2755,225839.71509228402,200639.17484381926,303663.7294597324,269485.7354631976
1,4,b19b0395,02f0159a9e9484a1998a6c45121dcb0ea3323b9173fca1d6e48717d812fac136,5813,577400.6867669735,429110.10002638807,621906.402036927,479885.91474474873
1,4,b1efb8a4,5bfd53a0b99223a57e39ea6b98240eac6b348d852871ff8481ada9824c88fd9d,5998,445860.6427249257,381535.52675182227,646548.448921846,549474.298334818
1,1,b32902c0,04bc9fef5773c9a096fd15c93c0dde11f895e0bbbe0a3313c8cf0c90d48977a6,3808,124452.43769945018,245673.83556551635,195336.22602885345,339210.78451617475
1,0,b32e4903,95228b84ee898cb8f01cc56bc513779b63a230d43ee3b0562e122281a5ca6836,5770,202229.40159523356,445611.78114405554,189777.8787278763,400875.474863151
1,3,b3388334,f06e9d325dacc548f0e3eb1469899fb4cd330b304d47cf7695788c9bd6525a77,6080,1492274.8522108519,1553006.8268514462,1367677.6267119958,1432804.3778721264
1,0,b37fd114,771295c0db949db5aaa476c0fda34d2b1ca6c6d89b7ac0847ac95689b6f7ab80,8161,1619211.5382143867,1917095.8674081836,903897.0486884761,1157704.1317599134
1,4,b38e3116,8e0ccdc97bf7715d75ce3d454dda9f2e73040922a74e007103c166fc28ebade8,6211,724030.8183520464,926366.430979007,754929.7404813406,940400.5423894179
1,0,b4d8dd4f,af8dc0c8f847c7ab2808ed8ea9507bc04ee6252f09a78b84deeca5b39d474c17,4259,721876.5651156353,630468.412547996,777334.0616467693,685647.5530212709
1,3,b4f37e6e,cddc6c71d7b89e74abec41853dce065c76c4e21ffbd6928193ad38de59d01dd1,2992,152809.0251153704,151929.2384412083,110858.18128042502,114150.95066226262
1,0,b56bc0aa,938e6f6da6042ace08d9aeb1d072fc9049f150519d26283443484e7d4f262144,5602,208771.59444964275,204475.63218242247,200862.83114987792,197340.2134588802
1,4,b585b4fa,d1f6b9f7f734f107b239bf8375bab08244cf0cf1276f3249334a02cbfda80fc2,4294,247125.7590894509,305410.7276532717,201115.4738815587,231584.8466992999
1,1,b5aa9634,3267580d8d460b55ca4d523323c4f5465ef272d28bcebf9f56d4bd7ee3d4b5eb,7326,1178784.5571128314,916259.652667849,1130625.7415692029,878716.8790109375
1,2,b7974e66,f7f0d8a2b114a9764bc17c2de88f2d9ab0e431869c46d4d9cfe6ad203e1e8fdc,5558,656387.5737996543,942748.9280445161,896247.5010716808,1118556.4717062868
1,0,b7cdcecb,e36fab9d9c34d82bf6deada876717ee0b6fb9295aea184f1f888c5fa96e8b6c5,6168,185002.6940072555,252347.4855606336,74243.40333450782,120720.54096445767
1,0,b7fea9ef,ef2d0223e4144f7d007592d51ef8e80f267d52e8f7b3e4adef15067d4c1db14f,3866,252602.98397625488,230655.57915811817,225645.64235733758,207548.34279208875
1,2,b85f7b06,4189cce0dca1e75d59848635cc0c76d7b72d268d58a284c04a3413b9db07ef08,3803,140469.40379277832,80479.93647766038,157100.09331286323,95458.60896800598
1,0,b881d27e,33c294fdbe0c934a42e1173f481faae77a1468b9bad27426f4f13178bee5e974,4009,377589.74483265134,285819.3498784473,322032.26856449235,245191.24676626362
1,3,b8c49c1a,c96c1182066bee303d33dd0f991b61e854213a970f3e8a9a95b68c1ca4116c44,4319,237468.5224631784,235879.12395776476,173357.08075196942,179977.74991220218
1,0,b95e7121,b6b902e1a1fae46e34794a981ce77a427e1d85b5bf493cc2a1b9190134a07211,6306,5983181.114758169,3085213.9395933393,6683413.949700347,3791068.327866323
1,2,b977be4a,0d2712e8cedd8c6b95a2e3f510b5c03e58fc4027e0ac59c53bb51a601f3d38c1,5917,1331172.176845566,1285106.7516652804,1201551.4646994309,1195465.275019119
1,2,ba48188d,2fb8f1f013244de79f2f8db24d18b10933357e372beef40cf0902b75b3d82c11,4166,11721645.80738012,12116918.983148284,12024653.424199045,12320487.118207382
1,0,bb2cdd83,2d4df2a4164cdfb9b03883c322126baa7c3431b6a149e4ae9d125c0f9412284b,3825,93087.62698114301,146980.0904624476,125870.28883911973,176228.59541966987
1,2,bb337fa0,381347cf674d52de347800bc8fa15ee6485cc158e211ff97092a15116d899452,6873,1915110.6258066786,1316884.9501077204,1778913.411842899,1275982.2324329899
1,2,bb682ebd,d4192221e50a695f5defd197403eb80b097d06b730383597c117de9b49ecb1de,4139,1552012.0788395172,1693019.0887364408,1545180.6787142353,1672975.1742990587
1,2,bc4381e2,94eb27fdcd1e89991e52679204f459ba6a9cd201237026b9975699fdbb7d8979,4955,2048022.7043166184,1922532.4997200146,1984372.6462545048,1883130.1986832526
1,0,bcebcc5f,0ed5522121bc4af1addb964c950056fee7c1255acd2915cc02b370041fd62f72,6258,365430.33830439585,237279.45539324457,236064.2908353305,144623.02240827185
1,2,bd2c2f34,3b14194a7e806ea5ed2f058a05e29a18ad80827a92316b4eae19709d88bd5294,9823,1846460.5332152667,1937806.5128743406,1626359.8382409886,1748165.065007251
1,3,bd4ae5da,2e4683d618857bca3d8dbd5ff075c00e5e7e3b4fe04aebd544f14149b156167d,5006,337813.4477957959,291027.2107756735,474968.67371541815,406033.7496764577
1,4,bd6f0e19,caa23241de2e5d0e7775750bc834bf2f0ded9988ebe53d27f1d2aaed64794513,5140,560041.5414611414,261111.23216921545,326270.5821383703,138212.5153196314
1,3,bd8f847e,970736dfa1ec9d1e3fcf0ecd4a9d30b5e4d5fcaa6bfc8b131537e68a77d26efb,4961,238098.37969781278,252214.44571389764,170035.1664878775,188550.1733064903
1,1,be063506,f0db024f82a74b6bfafacc95db3006bba956b14a84f811b1ddf571b8f16e69ca,4500,55637.611730697296,83957.51397025705,54405.79841492661,80535.69268125755
1,0,be35c8f2,6b2551f90d2aa3b3cbea822fecc63579274db1f610a1d7ec3ad55080ff78567c,4226,94013.73325633066,221729.86742344726,88578.8211887661,168870.3001926223
1,2,be83e781,3d649c9ac0a097a340ea3914f72d277e8679a3b97eb025889700efe44a10e73b,3221,165551.14463367424,161262.92392523176,219517.94761941815,201837.7385127929
1,2,beda8696,e792b33f7bd593e288dc247642f63abd0a85681487a50417e9cde56df082da33,5912,997893.6353440797,929699.1078516125,1023714.1262032873,954994.4796847414
1,0,bf39bc20,87ab030ae733bf90b82c2b4c0c1a82488f25a0182da203e4d2b505c3a5202857,3303,106292.39036490783,105931.81564130011,122820.36856551084,119844.69263172055
1,2,bf70b410,03f237453340a7a43e00cbb22e0d98dca12b2a51ce44e38a59583834c66bae54,6347,2046936.002446279,1936393.035411167,1933559.5396746702,1859861.2106750966
1,1,bffe3082,62865d3db19a3a19abbcc0da867cf692d2157c88e7e913ca19aeec744f3a4638,5723,1706619.5340510958,1484800.2454793046,1376520.746294051,1224133.3559191106
1,2,c03b9305,f5f980c56fa3f89c03488734d51da8bea0f49537206f9bc85c62afc441296f4d,4255,1208973.0751113468,2004178.8979952035,1646918.5916608335,2349379.5403343383
1,1,c03d4aed,c6b2c9d456f6a8ced624a5eec6185fff24fbc7a93c27006f7c45e974acc66667,4641,371984.4049670034,403989.0415046488,236790.77460766688,271352.81175829633
1,0,c03fba65,cad43482fed470fa776f8b9763025280432e4411038c284bcb33e891732341bf,3699,1474988.834586676,1002044.2462126366,1189861.4389512518,806262.4371634196
1,2,c07fd0cd,f49b83358a1473b6e9c4e0eae1402b481a0cee64eb44cc16182501c6c0eec358,4191,125085.99804493386,122608.4979643327,103661.34164083115,103249.29584288664
1,2,c1708b88,b82801c080618236c36096552ae4bde78aecb0a82c5db2f685e800cd5613e92d,6315,1659756.783727329,1389160.295084047,1636930.4338133093,1386403.1965755052
1,4,c1d046f4,1ab52107f0146828fe04a80c1acf63fc96ebf4093127325aa23a599399b915cf,5513,291453.3725102522,201414.97274714155,175391.07791811344,118396.13093545655
1,0,c2717d4f,3825b16d64084cd8d058143c315577e40e4df84d6b3ff484e4e17a499d80f8ef,4721,557637.6345559249,765967.7595210981,674001.4378448278,870254.8205362274
1,2,c2c4db09,ab387e5ad38d17e20321cec14ddd745ea25498fd1272e74d1879ab91910f1e57,6039,440979.37212292186,412635.14945612685,378554.25873609085,359634.1635553759
1,0,c2c6fc71,c680da48245f1da4fd4903cee5540da85c00f02d062db3c83eb4d768ef475383,7119,769004.1964102185,1168184.0657334612,793680.327645558,1189784.97624493
1,0,c36625df,5ddf4ded60d45e40e22ea9b6b3e199cc6b452a532f974414054bcd7c9f037c07,4742,80896.94677786506,68244.20552781489,72062.13482677891,61745.262155900535
1,4,c3957531,33c6abbb3cad79abdeba4182a37542860e5bfb253fc4c1415ccb1db767e13fed,5316,681100.5745139921,655299.8233834731,663954.4857749299,626508.4869961925
1,2,c42fe306,bdd9b88926bb9569a86387161b127a7bcfa7eac177f9f7dfac2af39837c32dde,5095,739535.3468568784,853926.5771750777,820115.8217755544,909136.1515317934
1,3,c43812e2,6b0a52db47eec289ea9cb80488bc1edcef4a47e61dd531ba26b7e61a87256b18,5527,157804.6530424666,140749.04986817937,144806.28014077264,124525.99973990093
1,1,c472c0b5,35772d971b404fefe274fac9e8a5eb07065d323ae5d8c912ce3a62625afb05c1,3054,93772.09456944276,80740.09638129361,64415.094058344184,56866.262845703786
1,2,c47e0767,22d1672e69c769ee2966c3bbc14b6129766d293bb1c54d152a7322fa70b2e870,4356,902474.0518908682,990761.9851037085,826796.3088367308,919846.9335293858
1,3,c50b42f6,90f9b254670aa6036b815ddac550e5215baa493fab24b2d850e7ba8020d2934b,6014,1013156.8262868754,977282.1623711565,1222300.179449858,1159605.6554022166
1,2,c593337f,8870adf3e2c8fd2eb56ddeae319249c78abfed8a8c0065c56af54e9da3306f3f,5208,2244755.4864438064,2345260.681492485,2016312.8069701144,2152152.378632876
1,0,c59b6c4a,ad094b167316292078497d8d5348e22917dddd7700077508d876bb98785bbba1,5499,3872128.712748524,3531727.5876504653,3417370.163845141,3143689.9091729964
1,3,c66be2b8,a15ff44c29a0a4c9c3b1fd7ae08dcba36ec5a5e6461bb2f034513b81b81dcfd3,4154,1725624.2961057238,1338297.313268358,1256021.3146134336,994372.3917610825
1,3,c6797dd7,404e6e727621dab683e2be5060818c25da2d58836709031b84d54131a68d17e4,4664,623023.0044907862,432400.4291562952,578773.5644189008,403087.09053540777
1,4,c6b782a4,e392fc3a79097a8dfd88290f776b45a908c72a7d46c96dfec06cd6b212e4fa71,4877,178695.72970666073,163382.94129830206,153951.2442539732,139589.30615984174
1,0,c6c96179,c03b513e3e68d353594fc51a7728b701a271c31c7ad58d69189333ab7feb2e3e,4004,199661.4793252105,251971.9057648595,287379.48752680566,337034.3767456707
1,4,c70c0e01,67809a1766cb2ab46b34a691ff1a508659110722ecda82b4d440f5a6284ff8f3,4312,291224.55640454724,267289.4254971798,269233.3058792889,248694.6986619864
1,4,c84c65be,c9f91c7eb396a95b6b242a254e6b0355acb167251acd85df68412bfa0cdae8cc,8496,379980.08228503464,346815.74198712857,324520.53662088705,289495.1666437222
1,4,c8d9680c,af1fbbde8eb5682e57e857465a3762dddab72086b2106a091206720dc8d556cd,6281,8071824.884087679,5799331.3626953,8791536.42868102,6504015.30353176
1,2,c908edd0,0d2712e8cedd8c6b95a2e3f510b5c03e58fc4027e0ac59c53bb51a601f3d38c1,5293,1760483.9917224837,2428071.9476432432,1235085.517080836,1875980.5695085996
1,3,c9578d27,bf6c64e0ed39d3b512577ca6a78a24473e0ae75dbf38c03ba7d2c91fc000541a,4487,300421.8341292888,346734.65316131583,199964.36149590492,242408.7823563706
1,4,c96c018a,a892661a225b2ef91682967b419b6e35d21dd35bf07112694d9538292f700a0b,6236,458723.61425884714,269462.7392906608,338187.58177801326,205926.7220215192
1,2,c99f9fae,61a8d6a92148bee21edf1640ceb223ce3f7cd3dac57a1e5ae7f51c82afa9c800,6361,77796.43399630504,70043.28701317303,58082.638753684114,63478.99493218964
1,4,c9e6734f,28324e2fc4ef3aca1081009d968f26f1a0b374fff43a74dc5027563d1b4e5c44,4735,789802.4947220614,645509.6976796951,901151.646754823,735742.4569399974
1,0,c9e980e8,f2cf08e57726a04b1994777470373f030924aeb95ec26a72b493bc6d23dc2931,4359,591512.8242806966,428240.9786259192,257926.21768864704,172655.29698119283
1,3,c9fedcf3,8da228c6909ab660c64937ac85d0bd9256a7780f7f55bd7ecde5293708c6f18b,3517,93511.66537089493,40690.90514940789,94392.75597933156,42477.46632195004
1,3,cad13e8f,788f272b3094a1c26e785e8c1d5e5010c24a44c7b2074754a2302e759c39ae0f,4848,663809.3199845806,574821.5357562065,652720.1028201078,569518.2354499428
1,1,cb34231f,26c98c01460eb8c72cbde7176dac87a7ed061b05044a2b72e7406099200d4252,5609,678027.7688324624,388130.7741249306,418326.13166443014,226999.34446348288
1,4,cb879f40,f5f4a9b0d948f900ca8cfbe7a1402757f88951c7b275ef071fc50817ff76c1e2,6315,407003.9916631826,423540.1361607705,287105.3124764826,302728.31855218986
1,4,cbb406b5,76510153282a1297cc39aacdb7db378bb7971f20dcb8f22bf89a31ba91eac901,6328,840726.2351872907,1009386.7669821987,873531.9357991725,1031480.9264698827
1,3,cbe51de1,fbefb0328f71149d9c55c71c0cdcee0ac42565a1ed70ef694056e797317ee435,3963,177841.16753335609,196286.42477860182,103545.70377755267,118539.685575151
1,2,cbe62450,d8d1f3256d28c665ac55a6ab2eb0e3dccd4647dec3c4d7dee080aff6913c6125,6258,1557122.864700064,949038.9766836578,1528624.603088246,1001445.7764997911
1,2,cc08aa63,72e319cb58dc4c4b1dc52bedf459daf8e3da215b3d9750df3c7f42de7a9242d5,3274,324400.2427739516,359502.7086994414,385759.3277833656,406034.15339651227
1,3,cc8a1d57,1c4069fffaf922d2abe4a4dcefefa9fce84eb621c90c6608f3879c74ddb94029,6638,2264138.0733893253,2563616.3736552643,2162542.145639254,2428080.1375429737
1,1,ccedb12b,7ed87342c6038dff0cf5ccedfef97af067fa265d6cdd749f37643be0c5a40ac0,4401,270242.34029988496,254847.63770030037,172931.21557064622,174484.89575369863
1,4,cd7f1687,2bc5ba2f707603536d7baef0dd4e21ce6873f34f5789fc8a79ba44241cdf7370,4232,114091.77346999041,185196.91325662791,157403.2022478727,245207.45759485467
1,2,cda7eb37,af6c70ae2d84de7f127beacbf94572e107a478e57e3f314920c45156bd073565,5973,678813.7239130253,705646.9633684643,468704.6641223852,531544.2453084915
1,1,cdc31d65,ee3c880ddfd89c5f7ef93dee06e71441dce1f8524531f8d300d51aae962b6a82,4840,93269.63092758204,113865.21062770489,235184.84053656997,189236.87811996115
1,0,cdc60a53,91e35c473ae5780ef29c60f37f2303e6f02fad7b88027c923be16cbebdbd2844,5878,415208.02382208017,439903.95406832895,431393.4800696842,473225.0694844841
1,4,ce55ba43,264f81bd06c4152e9efd70afa15ba00e3dce62df99c8742627122bd61f93d9e2,4104,367999.2123270696,144867.00561051606,293122.05379781267,129818.40513411662
1,1,ce8399b7,1f09a3ca44aeb97357959fd0712d0bd6e9116b7059fe81fb8d7edb502f6d07e8,1615,9693.072535402258,18461.32051928068,8380.973654339925,14775.344266517848
1,4,cf50c9d1,6b2528771fdb1f8d8ba785bcf72f609bb75f9430873020f2e4af4e339acb53dd,4858,2009661.4278650722,1376149.8556624795,1919526.8642703583,1356066.6407660383
