mode,fold,well,typewell_profile_hash,spatial_cluster_id,n_rows,base_sse,typewell_sse,ordered_sse,joint_sse
region_out,0,2ee0235b,fd09753b7d2543d9d6b70c795a4dd8258fc521e9249e7ce38fe30e45cc531546,region_fold_0,5556,206614.51919651925,151598.25269345596,175779.3714202066,131966.22688988232
region_out,0,310c71a5,f7d26a773ffe3b5c3f1b5b81bfd779295f559d2f56c9b8b694e39a5ed9e6b899,region_fold_0,5245,216000.29925795482,204047.8623979034,198225.5523690581,189816.0964904019
region_out,0,368fe682,dddd0e996c03ad9d4ac9f4872fbb6009bcc15c1deaceb3fd83c0f9e2c0c9df12,region_fold_0,4936,2250295.0995136574,2364357.8127075722,2048891.6063730402,2169611.3522720737
region_out,0,3690a146,0217f2e8d02b3f5435bb05f7ecefd8bfa1f7cbae264b667c64f3107510624230,region_fold_0,4073,142711.1431252274,186549.8309568231,104747.51972428482,125456.96074501015
region_out,0,373ef48b,dc63d975e14b3ba2351d2fd94a839881c0fa50514a522e752dcb7fd75c32883a,region_fold_0,3509,121955.39067397515,56994.79176530833,197956.74189062364,109563.80009493663
region_out,0,374be387,cdba940499916f24f9e8d6cd6706ba1cfab227ecadb351e7960b2ce0b1a5e897,region_fold_0,9965,855159.5680933304,503625.30947880924,390740.0243072452,244336.9457351796
region_out,0,3932faa6,2b2bf49e8f51b482283435997aa38deb7c587b33bb335735ff8982cd6da0737c,region_fold_0,5452,914887.6457782746,772040.5389917222,899195.1503735853,772890.668563654
region_out,0,3a7dd95d,fa50bc0cd3651f647f8ee2b5a9b71e4ca658e047cea07009cfba150fc2af4d0c,region_fold_0,3072,470898.26148735115,423859.7261669595,518056.9161466571,468526.2767139872
region_out,0,3ac16ad0,581eda3e0400cb8d2155b719eb465aa81fa8f7b974880a1274ff45ca25505a83,region_fold_0,5649,276436.7943278932,230710.19352822172,145318.40069534982,126529.15222359907
region_out,0,3bbe1f5d,2f6f589a73b2d2096fba67642e238afff83be999c2409ef7c9b1a282a39e8ee3,region_fold_0,6918,459540.1380216921,387518.8490623018,808462.7101860724,669656.0312477688
region_out,0,3d96d897,b2f1082eb07d6d4bb3f6ac21b891904be2da89874486a0afdfd741c7680e5063,region_fold_0,5659,78026.31402036901,42015.95882878109,31797.71830466496,25441.926336529177
region_out,0,42c538a1,5543744e998da3b674b9d3f39cf30f6a9da7ff889dca0a0ba6a739424b1d0aac,region_fold_0,3279,3222308.2135135625,3576987.293436435,2993251.15038099,3331239.9444197775
region_out,0,43c7f85a,67b6b98723a87535cea9da1e027f5a7504387e69ffca398519f9a0a7f21ff981,region_fold_0,5978,520003.2359831033,383142.1899743754,284128.83476356755,237901.43870174038
region_out,0,445af6c2,e2b020302102fac5fd07ea8e3d19f0f1d3fa4dc4914f071df7625910f47815ec,region_fold_0,6041,4063433.721255601,4131488.5060244896,4533120.400164627,4538754.631177553
region_out,0,44a94013,0195ef4d9c138b3f20c996735782e2ddc0d0387dae05fad29887a5b5756abc52,region_fold_0,4903,1969171.5232568735,2404332.923595886,962310.4015832234,1354589.9531791639
region_out,0,460f859e,de0704db740e92e2145e1353d25327b1328dfef30dde129489ef9fa1d51ac6a1,region_fold_0,3336,846602.0156356939,800152.5163124641,487028.8005220528,476141.01882880845
region_out,0,4654e7de,fea4a583d5be0c4498a29c95881de056abf35d4cf56c5a0ba2248dd205ad1e6e,region_fold_0,5373,136929.6273277512,232155.9292674005,243529.75236065252,329703.08383212093
region_out,0,481de5fc,9f3b58b1923a259e359d5d6faff42533814868f1177232ec92531e1cea63eb67,region_fold_0,5952,2566641.0281228013,3827320.5443918053,3282807.4756371775,4386716.717914866
region_out,0,49dbc14c,bc9bce1ae1c548ed6674663bfd7f8bec97a172594281937a7d28993df482286b,region_fold_0,3872,112573.68922663496,110960.64407667879,66142.25165571603,68987.34822270866
region_out,0,4c3df468,80cc73d7602e799f998a8a7a6595c9577b6d8d2584ab106db5aecee0c49350e7,region_fold_0,5392,338664.5156534019,472021.10995114286,335948.93509147014,437979.42856954364
region_out,0,4caa7289,c627171855034f4221adec89878ee6d71deda902d021f251a7e4918481e28ad0,region_fold_0,5396,543940.4763903936,653021.7334005337,631290.6001081939,721521.8152742956
region_out,0,4f4ac5ce,578d7b97b534c585e2a985c9558fb407ae1c72de9daf8ccb136ab9accb8e0819,region_fold_0,5162,230272.10431273756,292800.6926170477,356517.0367334927,418385.06907376624
region_out,0,4f4afcc6,ee75c511ca68c3127e89a4368ce3298e5799bacbae48ac0a147b5a37ad2cbdfb,region_fold_0,5645,512455.5176820532,394663.46056825784,549970.3148353925,429564.6372563617
region_out,0,4f69febf,322836be834e9f3f01078bd28a5f56afb645642e0d47af27f221ac579c87105d,region_fold_0,5460,151693.6176791938,103099.42118197953,155815.76462885627,108547.75055951565
region_out,0,4fbe9c06,e947a7ae2827f57a4bf6bb8aa7256d89810d1ec8aa8d895142696e59543d3546,region_fold_0,6287,1246827.2405953533,1143510.321778331,1112893.4743445688,1041445.9491316781
region_out,0,504c8b08,05b4a20a2d28324c118ccaa903ed7cf96b85e0f5be0c53dfd52c091171a3cb5d,region_fold_0,6367,2352958.7617902174,1979315.0525775496,1168541.8632592014,1034578.9551937554
region_out,0,521a7819,1de88eeefeb04cae5bb25b51580039af80a8357945f26e56c50c05459677fabb,region_fold_0,5200,4697422.449753914,4483666.234528504,5113453.520471945,4852410.618593771
region_out,0,5254b6db,0b398b947c6cb46a03604db395614d6d22b27f2b861ee6d044dae95e21360df3,region_fold_0,3274,302939.8717011963,193190.70674753175,568826.7634490506,416178.6586427873
region_out,0,5305524b,acf8f6226c34d88b45934a69ae58f571e042f6064a0b8976e5109a58996766b9,region_fold_0,4898,572218.2628910543,887763.3362843338,379408.8080942287,632081.3542400552
region_out,0,5663b2b7,d1d3d6b458399f81c2987fee24b7ddc1a4a1a4c4085a24688189ba3c2b70ae53,region_fold_0,4972,1083941.5714804227,1543207.4391613747,1165819.0239735998,1549606.504040252
region_out,0,577eec7c,d7832f14648828319589b30f7d483ff7ed9351f89c72a59d8a7f062eaee12551,region_fold_0,4539,746958.5131688825,510372.2337654113,647448.9189930111,492121.7917467582
region_out,0,58fa8486,40938ec104e50dd01a3df536c4071783c346c7e85dc7aaaeca1b25bbf4352531,region_fold_0,4475,963532.9695325021,1061384.4928260234,793429.9706222651,891443.8205229781
region_out,0,59f8b2e8,5ef726972b83b2bd454da755ffcafac8a9de2670324648dfcb7f11427834d5e8,region_fold_0,3747,247391.02126988838,343574.091125555,310712.75139105535,398224.0668481237
region_out,0,5a5d1982,d077552d04bfe87d50530e1b6c7518b7d34fdc56aeb36bba668675a0a509fb47,region_fold_0,3894,81599.80956335974,106974.06613762712,78275.7301811702,105144.61558329556
region_out,0,5a63b5d1,43bccbae47dfa6acc16e2750847094b3fe49af0b8db382890058944043a1b5d3,region_fold_0,6217,5570625.936557916,6081035.049733289,5014208.06801428,5524220.728413645
region_out,0,5cdd8dbc,f72bcbd858d7ebcf1e3fccfd1988431517f17dafceadbd32297bacedff4998f3,region_fold_0,4010,199993.70946934444,199202.42411901164,272230.9000376547,250994.93249340678
region_out,0,5def1ce5,11b4cc8e9017762641a0f62a45031201ae551d436b9cbf64756750a01e4e9bec,region_fold_0,6443,268750.08048097824,282960.1386029632,294544.9106058058,302207.4182524448
region_out,0,5eae34a8,f52f61ba0e160d1334e5b4bd8f8f98961cf06fbd7fb058c3736d9db2cd3602b9,region_fold_0,4904,268701.015204987,161460.65664570095,200900.22873340995,144628.00295079313
