well,oracle_shift,base_rmse,tw_delta,prefix_delta,ridge_correction,ridge_rmse,ordered_rmse
015fe0d2,18.33688139637822,20.833960814384525,-2.157933072872499,-14.630175236828574,1.9284391369237541,19.158540686918688,19.85484210092658
01869cd4,1.1957985237197948,8.0743553462509,-0.04197068482486577,-21.556309316031594,3.915503860061851,8.435761807017101,6.863876338339926
01982c1d,-8.333616561201438,10.065042677897083,-6.047704926649583,-15.795501718328637,-5.428106117722255,6.348063488649401,9.860524354987211
028d7b28,-11.988583030520427,14.79681191715045,8.464477668077814,-15.32283518108509,-5.501322112693814,10.830700533566825,16.69903542633054
05948241,-4.9537372649365246,6.108569033156915,-2.2696999632156243,-14.131701858844801,-0.5381728058401768,5.680872488910354,5.847470410694047
06df5958,-0.85906128918528,3.0116029329575316,-3.09660002887977,-10.218102810403554,4.891664704910512,6.434486412013384,3.2994289775138705
071d7b45,10.170808389973402,10.601205862203416,6.237034709375252,-20.091351092682107,-1.8118027602765951,12.350028032573103,10.096316001805253
0849b4e2,-9.86820493658132,14.446173980437797,-0.03826384683275762,-13.32143985985432,1.2249032325390097,15.309066687898824,12.463100090307233
09441b8d,-9.05542700958724,11.822249467268746,-8.22967187226352,-11.119352829289959,-5.597600526165453,8.349933420682284,10.516424057209552
09ec2ca9,-6.499661139772691,8.803152759499563,-10.543674815872604,-17.99303126195452,-1.9437154084773196,7.483752072438238,7.615470030993507
0bbf5e67,-10.479644365574975,11.847337764202647,0.6699712624429937,3.497591548534664,0.4629444605703798,12.258740403820598,11.708607804257849
0be01c24,0.646823232971258,3.4987936298494233,0.6978913392032602,-10.650413608870481,2.468700115463232,3.8913252170080725,2.9518550944884185
0c1b160c,2.439831095473118,7.420729542108257,9.064162290934018,-5.591063704041493,4.1235864482203,7.207598993464203,7.369479243082438
0dc835f3,-7.871588776521996,10.430474621728868,1.449239113391636,-12.84084121346957,-1.3973975445093338,9.420617977422095,11.064003698223436
10be2420,-9.05598477248479,9.998388568385298,-2.822965288038288,-9.109331815242683,-2.165138513931044,8.089541144216772,8.427813472073822
122bd617,-0.9631476505812674,7.84143298484341,3.541095546623266,-14.471218216252147,7.42697309545125,11.443537215038575,7.349823122597931
125be846,-10.812703669114432,12.230661499374333,1.9941150068379974,-5.177287407233527,1.9372420418645797,13.972674608287939,10.004882639366498
1285a37b,-3.9830472416804867,4.320943541330226,-0.5488515156036563,-10.943483431481358,-1.888091256482007,2.6822990768787176,4.438644479399248
13f598d9,4.677817387363446,7.0554408619604905,-0.8779625467028214,-20.238504561179745,2.1438186563571757,5.858192538304169,6.692414255700843
173ed841,18.611265074877668,20.984083936895388,0.41893027017150875,-11.510286120308663,-0.9779042062225841,21.856077967167014,20.573816687782333
1770d7c6,3.0583835041270304,6.006012612829107,3.7128313429718105,-16.629183677967482,3.191742268622908,5.170711982620389,5.0436047218475695
1944513c,9.122905733013372,9.592045913284153,-1.2139908209376353,-0.9703648821009867,2.4411979713835437,7.309251288669711,9.1754236378111
19fb4f7b,-3.8056454609716637,7.577501471084752,-3.502613699748471,-6.650671276446726,-2.599543093488984,6.66260265140617,7.527259272742883
1a518997,10.582936893335114,10.878056753685081,-5.325386003626799,-13.050107143367981,-1.5761324781821724,12.416784343356955,8.971409020230254
1a68190b,9.718620772294146,12.834703223443471,-3.3944336674757474,-16.396244722066097,2.082494132972546,11.339684615101449,12.775803411694719
1b1c5372,-13.425330406328555,18.456449471419475,-7.251216966283889,-14.741027332626667,-3.302087465400641,16.213607809892455,19.468717576452683
1b1eba53,62.93181023913749,68.14157844892365,12.023911795271879,-7.368606242465645,13.336446544869563,56.05855932418026,65.483304345313
1b82b665,2.022257738690713,4.870204391818524,-3.5217649709817462,-11.185087770586268,-0.5138385970458019,5.105012152828853,4.88934258923591
1beca81d,-1.6012896002406025,5.539785146135593,-1.3155794973488426,-10.784699340656225,2.440211401330708,6.667744853187076,5.841469243806562
1f9afacb,2.2085095368790184,3.7674456034217547,1.8577443908757871,-10.729602843581214,-0.7209532023970705,4.230589077311068,2.9585858927034625
1fdbba44,3.7726192801686564,6.350263446548629,-2.885945560704629,-16.98219473700214,-1.8501097786258431,7.596596058504869,5.124655152610598
1fee2b62,1.7497809510959856,4.96968262657369,-7.003867863169303,-11.187577508106846,-2.489730002154389,6.293605100002989,6.585812933523681
200d233d,6.365544256695252,7.134855476200126,-2.5802933250445728,-5.539854623964617,1.2573346525747429,6.039852178815519,7.747953268546985
206b6193,-25.257723178412483,28.6503114968102,-3.4987551805527146,3.4376914392507567,0.950634802501271,29.49179202358908,27.81173053064989
25939962,2.58032878974588,7.349393153556652,-11.149118858037195,-14.968190993676693,-9.686168448831783,14.064936457958034,9.515904204834998
261785ee,-17.542895766090016,20.17255615455414,1.149252020294962,-10.84736196869893,2.379060422487782,22.27247557700576,18.605851027498794
264feceb,-5.57090963390527,6.398444408919047,-1.3012032675619019,-8.240041727450235,1.7630865688666693,7.980761680889497,5.667713411871342
26d3a96a,0.025612361369498366,5.375743365609429,-2.3484020171545352,-14.24568120055667,0.6765826208973649,5.414953648797825,4.555861468063139
27300fd5,10.469894092906666,11.59291424511274,-6.014321426810806,-8.143259300616931,-1.46232714603074,12.928839161843584,10.142959877785284
27c3155b,-13.189026609423323,14.532529720681028,0.054736683643889644,-9.224129222317266,-0.6946201326044475,13.905185737212287,13.91545840969125
283269ac,-0.22545639669674658,1.0669408706616965,3.6021792262503802,-14.283057971781298,-1.086587773890988,1.3524346503490337,1.5271062229588575
2b06ad65,2.318172653147011,2.853216561590533,-2.5180560433309416,-12.498757997858666,-1.82730147760032,4.466752295150534,2.566834698863625
2c0c4a4e,-2.4248009449106753,3.5734671354996665,-5.061905058361624,-6.391549162152713,-2.9305843925280386,2.673167529718388,3.029534315282426
2cee0cba,-7.39214462408677,10.72999897672507,-8.302543854747553,-8.00665318146372,-7.547275864530895,7.779019321152738,9.052147144741822
2d179ded,-2.3810913063165984,7.757762125531358,2.5012071222592396,-6.484884470614941,1.3368394053642083,8.266576447609843,6.864089348081844
2d196986,-8.189968560957546,11.642748364539008,2.745268677878749,-12.581519479099537,-2.4452048172747363,10.073743838376558,9.625280491362455
2ddad940,-2.2936819232393684,7.745926568260342,-16.42570103816008,-15.875408553699744,-10.679852713639658,11.183302828844946,7.577066611930553
2e43c2ea,2.0752197692276413,4.266788550956793,-2.7124412267601747,-4.444980153691991,13.562036284828359,12.076667632714058,5.646187381550533
2f19d536,0.6413520517099687,1.8063462903873102,-4.437008957055845,-8.918539489915354,-5.524208806419199,6.3926281889260865,1.6273581962402455
2f8e53c3,-1.089043361266535,2.6996046162189193,1.2111593386078976,-11.875456296426686,-2.056254303821223,2.6527997754428303,2.3024229762409862
2fd68f7b,47.418495346232845,51.46380319828231,6.930830771886581,-2.8285277801805493,4.965117201460764,46.92865494166539,48.89255686349483
32fe84c9,-16.102185697408707,18.152843919038546,0.6289929176089933,-6.648779580290255,1.7985320933892854,19.76565343065942,15.616977621882704
3407f5bf,-12.73868391672442,19.83904569783466,2.430184376441566,-8.05462532825953,3.5279651092574555,22.269206020983727,20.998205490836447
